,Headline,Body ID,Stance
0,Who Should Play Steve Jobs Now That Christian Bale Quit?,1841,agree
1,ISIS Beheading of U.S. Journalist James Foley Posted to YouTube,1747,agree
2,Elderly Woman Arrested for Kidnapping Neighbor's Cats & Making Fur Coats,137,unrelated
3,Macaulay Culkin Dead: Internet Death Hoax Claims Actor Found Dead In Apartment,498,unrelated
4,"No, a spider (probably) didn't crawl through a man's body for several days",1375,unrelated
5,Comcast Says You Can Keep Your Tor,321,unrelated
6,Guantanamo detainee freed in Bowe Bergdahl swap 'back to terrorism',503,unrelated
7,"No, Pumpkin Spice Condoms Are Not A Real Thing",1289,unrelated
8,This Woman Exposed Her Cheating Boyfriend With A Brilliant Christmas Gift,919,unrelated
9,Islamic State Militants Claim to Have Beheaded US Journalist James Wright Foley,826,unrelated
10,#ISIS beheads photojournalist James Wright Foley in a massage to US to end its intervention in #Iraq.,1679,discuss
11,"Tour, agent: Tiger Woods not banned",1795,unrelated
12,Russian Yeti Or Bigfoot Hoax? New Footage Sparks Debate,530,unrelated
13,Saudi Arabia Cleric Issues Fatwa Against Building Snowmen,26,unrelated
14,YPG Confirms: Gill Rosenberg Not Captured in Kobani,1808,unrelated
15,Kim Jong-Un 'in hospital with two fractured ankles' after ballooning to around 20 stone and going on numerous 'meet the people' walkabout PR stunts,505,unrelated
16,Islamic State releases video apparently showing the beheading of missing US journalist James Foley,11,unrelated
17,A Murdered Witness?,472,unrelated
18,Media outlets identify 'Jihadi John',1437,unrelated
19,India Rape Crisis Sees Mob Castrate Alleged Sex Attacker in Shocking Scenes,1291,unrelated
20,Seth Rogen Is Woz,357,discuss
21,Canadian-Israeli woman reportedly kidnapped by ISIS: Jerusalem Post,1893,discuss
22,"Woman detained in Lebanon is not al-Baghdadi's wife, Iraq says",2360,unrelated
23,North Korea directive reveals apparent ban on sharing Kim Jong-unâs name,1372,unrelated
24,Abdel Majed Abdel Bary Emerges as Suspect in Foley Beheading,1143,unrelated
25,Government fires employee who skipped work for 24 years,1658,unrelated
26,Wife Of ISIS Leader Abu Bakr al-Baghdadi Detained In Lebanon,1877,disagree
27,Update: Did Boston.com Make Up This Story About The Web Sheriff Ben Edelman Sending Racist Emails?,1266,unrelated
28,New York City Plans to End Arrests for Possession of Small Amounts of Marijuana,1920,discuss
29,Nigeria says ceasefire agreed with Boko Haram,2156,unrelated
30,ISIS Claims to Have Intercepted Supplies From U.S. Airdrop,93,unrelated
31,Zack Snyderâs âBatman V Superman: Dawn Of Justiceâ Stolen Batmobile Rumor Put To Rest,1807,unrelated
32,Nicaragua Meteorite Impact Theory May Be Meteor-wrong,1622,discuss
33,"Etats-Unis: Mort pendant 48 minutes, un prÃªtre affirme que Dieu est une femme",887,unrelated
34,"Michael Phelps' self-proclaimed 'girlfriend', 41, reveals she was born a male as she describes her 'amazing intimacy' with Olympic swimmer",1337,unrelated
35,Magic mushrooms found in BUCKINGHAM PALACE by Alan Titchmarsh,2519,unrelated
36,Ottawa gunman identified as 32-year-old Michael Zehaf-Bibeau,2214,agree
37,"A message from Jim's mom, Diane Foley:",1361,unrelated
38,"Christian Bale passes on role of Steve Jobs, actor reportedly felt he wasn't right for part",1299,agree
39,Holy Theft! Batmobile Stolen from 'Batman v Superman'???,2519,discuss
40,Vice CEO Throws Down $300K on Lavish Vegas Dinner,2463,unrelated
41,"So, There Might Be a Rat Infestation at Vogue",891,unrelated
42,The baby from Teletubbies reveals herself,504,unrelated
