,Headline,Body ID,Stance
0,Report: Christian Bale Just Bailed on the Steve Jobs Movie,454,agree
1,Somali terrorist leader dead after US airstrike,2374,agree
2,"Nigeria Says It Struck A Cease-Fire With Boko Haram, But Are They Talking To The Right Guy?",1821,discuss
3,UPDATE: Internet report of Ebola outbreak in Purdon not true,2044,unrelated
4,Texas plumber's truck on front line of Syria war,381,unrelated
5,BREAKING UDPATED: ISIS REPORTEDLY USE CHEMICAL WEAPONS IN KOBANE,1212,unrelated
6,Rumors about Fidel Castro’s death again circulate on the Internet,227,unrelated
7,Jihadi John identity revealed as Mohammed Emwazi: live,2125,unrelated
8,The Apple Watch has a low-power mode that only tells the time,425,unrelated
9,"Video showing American journalist beheaded believed real, officials and family say",1358,unrelated
10,Nasa questions whether crater in Nicaragua caused by meteorite,2155,unrelated
11,Texas Town Quarantined After Family Of Five Test Positive For The Ebola Virus,409,unrelated
12,Married TV actor wakes up to find his testicles have been stolen after kissing young woman in sauna,2443,unrelated
13,ISIS Reportedly Beheads American Photojournalist in Iraq,1873,unrelated
14,MPs credit sergeant-at-arms for saving lives in Parliament Hill shootings,2404,unrelated
15,'Hairgate': iPhone 6 users encounter latest Apple problem after 'bendgate',1090,discuss
16,Axl Rose Dies? Guns N’ Roses Singer Dead ‘West Hollywood Home at Age 52′ is Fake,1857,unrelated
17,Seven girls as young as 13 become pregnant on a school trip,1408,unrelated
18,Saddam Hussein’s pilots training Islamic State group,2406,discuss
19,"BREAKING: ""Brat Pack"" Judd Nelson Found Dead in Los Angeles Condo",1382,discuss
20,ISIS Militant “Jihadi John” Identified As Young West Londoner,304,unrelated
21,Jihadi John ‘identified as British man from West London’,2123,discuss
22,"Nun gives birth, intends to keep baby",899,agree
23,Bunbury local discovered a spider had burrowed under his skin on Bali holiday,2293,discuss
24,Amazon Reportedly Planning An Ad-Supported Video Service That Will Be Cheaper Than Netflix,1323,discuss
25,‘Jihadi John’: The Islamic State killer behind the mask is a young Londoner,1543,unrelated
26,Video Messaging App Says Audio Recording Of Michael Brown's Shooting Is Authentic,450,unrelated
27,State House time capsule from 1795 unearthed,2003,unrelated
28,"Boko Haram Cease-Fire: Abducted Nigerian Schoolgirls To Be Released, Officials Say",800,unrelated
29,Canadian Soldier Shot At Ottawa War Memorial: Report,2347,discuss
30,This Kid Made $72 Million During Lunch,2388,unrelated
31,Chinese State Media Warns People To Stop Calling Themselves Dumbledore,2068,unrelated
32,Report: Christian Bale Just Bailed on the Steve Jobs Movie,2017,discuss
33,It’s Okay To Laugh About The Fact That The Vogue Rat Infestation is Getting Worse,2498,agree
34,Anna Wintour 'refuses to work at new World Trade Center Vogue office due to rat infestation',2263,discuss
35,Moment Michael Brown was shot dead 'caught on audio recording': FBI handed potentially damning tape of ELEVEN shots being fired - including final volley of 'kill shots',1252,unrelated
36,"Fidel Castro Is Dead, According to Viral Twitter Rumors",40,unrelated
37,[Updated] Saudi State Television Allegedly Blurs Michelle Obama’s Face During Meeting With New Saudi King,2251,unrelated
38,Hoax 'Banksy Arrested in London' Story Dupes the Internet Again,1739,agree
39,Brian Williams Insists NBC News Meteorologist Did Not Pee in the Snow While on Air,1968,agree
40,DNA test confirms child is IS head Abu Bakr al-Baghdadi's daughter,2337,disagree
41,Pentagon: Airstrike killed terror leader in Somalia,941,unrelated
42,Isilkulskom student has gained superhero powers after shock,1808,unrelated
43,Dog found abandoned outside railway station with suitcase of his belongings,304,unrelated
44,Kim Jong-un 'Had Surgery on Fractured Ankles',2022,discuss
45,"Islamic State Training Pilots in Military Jets, Monitors Say",1296,unrelated
46,"ISIS Claims It Kidnapped Gill Rosenberg, The First Western Woman To Fall Into The Group's Hands",121,unrelated
47,Luke Somers: British-born photojournalist 'killed by al-Qaeda after failed rescue attempt in Yemen',271,unrelated
48,Ebola Outbreak 2015 Update: ISIS Fighters May Have Contracted Deadly Virus,2003,discuss
49,Kidnapped Nigerian schoolgirls: Government claims ceasefire deal with Boko Haram that will bring missing girls home,206,unrelated
50,Accountant Says Comcast Got Him Fired for Contesting Bogus Charges,2149,unrelated
51,Macaulay Culkin Dead? Another Death Hoax Circulates On Facebook,1012,unrelated
52,Texas plumber's truck on front line of Syria war,1213,unrelated
53,CNN Plays Alleged Recording of Michael Brown Shooting,1916,discuss
54,Hoax 'Banksy Arrested in London' Story Dupes the Internet Again,77,unrelated
55,DHS: GOP Rep.’s Claim ISIS Members Caught at U.S. Border ‘Categorically False’,1457,unrelated
56,Insurgents killed in Nigeria despite alleged truce with Boko Haram,2139,discuss
57,Confusion as Cuba’s Castro mourned instead of Kenya’s Fidel,2377,unrelated
